rowname	TASseq	SmartSeq2	TenXv2	TenXv3
1	TGFb	TGFb	TGFb	TGFb	TGFb
2	BMP	BMP	BMP	BMP	BMP
3	GDF	GDF	GDF	0	GDF
4	ACTIVIN	ACTIVIN	ACTIVIN	0	0
5	WNT	WNT	WNT	WNT	0
6	ncWNT	ncWNT	ncWNT	ncWNT	ncWNT
7	EGF	EGF	EGF	EGF	EGF
8	NRG	NRG	NRG	NRG	NRG
9	FGF	FGF	FGF	FGF	FGF
10	PDGF	PDGF	PDGF	PDGF	PDGF
11	VEGF	VEGF	VEGF	VEGF	VEGF
12	IGF	IGF	IGF	IGF	IGF
13	APELIN	APELIN	APELIN	APELIN	0
14	HH	HH	HH	HH	0
15	CCL	CCL	CCL	CCL	CCL
16	CXCL	CXCL	CXCL	CXCL	CXCL
17	MIF	MIF	MIF	MIF	MIF
18	CX3C	CX3C	CX3C	CX3C	0
19	XCR	XCR	XCR	0	0
20	IL2	IL2	IL2	IL2	0
21	IL4	IL4	0	IL4	0
22	IL6	IL6	0	IL6	IL6
23	IL12	IL12	IL12	0	0
24	LIFR	LIFR	0	0	0
25	OSM	OSM	OSM	OSM	OSM
26	IL1	IL1	IL1	IL1	IL1
27	IL17	IL17	0	0	0
28	CSF	CSF	CSF	CSF	CSF
29	IL16	IL16	IL16	IL16	IL16
30	TNF	TNF	0	0	TNF
31	LT	LT	LT	LT	0
32	LIGHT	LIGHT	0	0	0
33	FASLG	FASLG	FASLG	FASLG	FASLG
34	VEGI	VEGI	0	0	0
35	RANKL	RANKL	0	0	RANKL
36	TWEAK	TWEAK	TWEAK	TWEAK	0
37	CD137	CD137	CD137	0	0
38	APRIL	APRIL	APRIL	0	0
39	BAFF	BAFF	BAFF	BAFF	0
40	CD40	CD40	CD40	CD40	CD40
41	SPP1	SPP1	SPP1	SPP1	SPP1
42	VISFATIN	VISFATIN	VISFATIN	VISFATIN	VISFATIN
43	ANGPTL	ANGPTL	ANGPTL	ANGPTL	ANGPTL
44	ANGPT	ANGPT	ANGPT	ANGPT	ANGPT
45	MK	MK	MK	MK	0
46	PTN	PTN	0	0	0
47	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN
48	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT
49	EDN	EDN	EDN	EDN	EDN
50	PARs	PARs	PARs	PARs	PARs
51	KIT	KIT	KIT	KIT	KIT
52	LHB	LHB	0	0	0
53	NT	NT	0	0	0
54	FLT3	FLT3	FLT3	FLT3	0
55	HGF	HGF	HGF	HGF	HGF
56	SEMA3	SEMA3	SEMA3	SEMA3	SEMA3
57	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN
58	CALCR	CALCR	CALCR	CALCR	0
59	GAS	GAS	GAS	GAS	GAS
60	GRN	GRN	GRN	GRN	GRN
61	GALECTIN	GALECTIN	GALECTIN	GALECTIN	GALECTIN
62	PROS	PROS	PROS	PROS	PROS
63	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN	0
64	SLURP	SLURP	0	0	SLURP
65	BTLA	BTLA	0	0	0
66	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN
67	FN1	FN1	FN1	FN1	FN1
68	LAMININ	LAMININ	LAMININ	LAMININ	LAMININ
69	RELN	RELN	RELN	0	RELN
70	THBS	THBS	THBS	THBS	THBS
71	VTN	VTN	VTN	VTN	0
72	TENASCIN	TENASCIN	TENASCIN	TENASCIN	TENASCIN
73	NPNT	NPNT	0	0	NPNT
74	VWF	VWF	VWF	VWF	VWF
75	AGRN	AGRN	AGRN	0	AGRN
76	HSPG	HSPG	HSPG	0	HSPG
77	ADGRE5	ADGRE5	0	0	0
78	ALCAM	ALCAM	ALCAM	ALCAM	ALCAM
79	ANXA1	ANXA1	0	0	ANXA1
80	APP	APP	APP	APP	APP
81	BST2	BST2	BST2	0	0
82	CADM	CADM	CADM	CADM	CADM
83	CD1D2	CD1D2	0	0	0
84	CD200	CD200	CD200	CD200	CD200
85	CD22	CD22	CD22	CD22	0
86	CD226	CD226	0	0	0
87	CD23	CD23	CD23	CD23	0
88	CD34	CD34	CD34	CD34	0
89	CD39	CD39	CD39	CD39	CD39
90	CD45	CD45	CD45	CD45	CD45
91	CD48	CD48	0	0	CD48
92	CD52	CD52	CD52	CD52	0
93	CD6	CD6	CD6	CD6	CD6
94	CD80	CD80	CD80	0	CD80
95	CD86	CD86	CD86	CD86	CD86
96	CD96	CD96	CD96	CD96	0
97	CDH	CDH	CDH	CDH	CDH
98	CDH1	CDH1	CDH1	CDH1	CDH1
99	CDH5	CDH5	CDH5	CDH5	CDH5
100	CEACAM	CEACAM	CEACAM	CEACAM	CEACAM
101	CLEC	CLEC	CLEC	CLEC	0
102	CNTN	CNTN	0	0	CNTN
103	CSPG4	CSPG4	CSPG4	CSPG4	0
104	EPHA	EPHA	EPHA	EPHA	EPHA
105	EPHB	EPHB	EPHB	EPHB	EPHB
106	ESAM	ESAM	ESAM	ESAM	ESAM
107	ICAM	ICAM	ICAM	ICAM	ICAM
108	ICOS	ICOS	ICOS	ICOS	ICOS
109	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2
110	JAM	JAM	JAM	JAM	JAM
111	L1CAM	L1CAM	L1CAM	L1CAM	0
112	LAIR1	LAIR1	LAIR1	0	0
113	LCK	LCK	LCK	LCK	LCK
114	MAG	MAG	0	0	0
115	MHC-I	MHC-I	MHC-I	MHC-I	MHC-I
116	MHC-II	MHC-II	MHC-II	MHC-II	MHC-II
117	MPZ	MPZ	MPZ	MPZ	0
118	NECTIN	NECTIN	0	0	NECTIN
119	NEGR	NEGR	0	0	NEGR
120	NKG2D	NKG2D	0	0	0
