rowname	TASseq	SmartSeq2	TenXv2	TenXv3
1	TGFb	TGFb	TGFb	TGFb	TGFb
2	BMP	BMP	BMP	BMP	BMP
3	GDF	GDF	GDF	GDF	GDF
4	GDNF	GDNF	GDNF	0	0
5	ACTIVIN	ACTIVIN	ACTIVIN	0	ACTIVIN
6	WNT	WNT	WNT	WNT	WNT
7	ncWNT	ncWNT	ncWNT	ncWNT	ncWNT
8	EGF	EGF	EGF	EGF	EGF
9	NRG	NRG	NRG	NRG	NRG
10	FGF	FGF	FGF	FGF	FGF
11	PDGF	PDGF	PDGF	PDGF	PDGF
12	VEGF	VEGF	VEGF	VEGF	VEGF
13	IGF	IGF	IGF	IGF	IGF
14	APELIN	APELIN	APELIN	APELIN	APELIN
15	HH	HH	HH	HH	0
16	CCL	CCL	CCL	CCL	CCL
17	CXCL	CXCL	CXCL	CXCL	CXCL
18	MIF	MIF	MIF	MIF	MIF
19	CX3C	CX3C	CX3C	CX3C	CX3C
20	XCR	XCR	XCR	XCR	XCR
21	IL2	IL2	IL2	IL2	IL2
22	IL4	IL4	IL4	IL4	IL4
23	IL6	IL6	IL6	IL6	IL6
24	IL12	IL12	IL12	0	0
25	LIFR	LIFR	LIFR	LIFR	LIFR
26	OSM	OSM	OSM	OSM	OSM
27	IL10	IL10	IL10	0	IL10
28	IL1	IL1	IL1	IL1	IL1
29	IL17	IL17	0	0	IL17
30	CSF	CSF	CSF	CSF	CSF
31	IL16	IL16	IL16	IL16	IL16
32	IFN-II	IFN-II	IFN-II	IFN-II	IFN-II
33	TNF	TNF	TNF	TNF	TNF
34	LT	LT	LT	LT	LT
35	LIGHT	LIGHT	LIGHT	LIGHT	LIGHT
36	FASLG	FASLG	FASLG	FASLG	FASLG
37	VEGI	VEGI	VEGI	0	0
38	EDA	EDA	EDA	0	EDA
39	RANKL	RANKL	RANKL	0	RANKL
40	TWEAK	TWEAK	TWEAK	TWEAK	0
41	CD137	CD137	CD137	CD137	CD137
42	GITRL	GITRL	0	0	GITRL
43	APRIL	APRIL	APRIL	0	0
44	BAFF	BAFF	BAFF	BAFF	BAFF
45	CD40	CD40	CD40	CD40	CD40
46	SPP1	SPP1	SPP1	SPP1	SPP1
47	RESISTIN	RESISTIN	0	RESISTIN	RESISTIN
48	VISFATIN	VISFATIN	VISFATIN	VISFATIN	VISFATIN
49	ANGPTL	ANGPTL	ANGPTL	ANGPTL	ANGPTL
50	ANGPT	ANGPT	ANGPT	ANGPT	ANGPT
51	MK	MK	MK	MK	MK
52	PTN	PTN	PTN	PTN	PTN
53	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN
54	AGT	AGT	AGT	AGT	0
55	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT
56	EDN	EDN	EDN	EDN	EDN
57	KISS1	KISS1	KISS1	0	0
58	MELANOCORTIN	MELANOCORTIN	0	0	0
59	NPW-B	NPW-B	0	0	0
60	OPIOID	OPIOID	OPIOID	0	OPIOID
61	AVP	AVP	0	0	0
62	PARs	PARs	PARs	PARs	PARs
63	PACAP	PACAP	0	0	0
64	NPR2	NPR2	NPR2	0	0
65	KIT	KIT	KIT	KIT	KIT
66	LHB	LHB	0	0	0
67	TSH	TSH	0	0	0
68	NT	NT	NT	NT	NT
69	FLT3	FLT3	FLT3	FLT3	0
70	HGF	HGF	HGF	HGF	HGF
71	SEMA3	SEMA3	SEMA3	SEMA3	SEMA3
72	CALCR	CALCR	CALCR	CALCR	CALCR
73	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN
74	ENHO	ENHO	ENHO	ENHO	ENHO
75	GAS	GAS	GAS	GAS	GAS
76	GNRH	GNRH	0	0	0
77	GRN	GRN	GRN	GRN	GRN
78	RLN	RLN	0	0	0
79	GALECTIN	GALECTIN	GALECTIN	GALECTIN	GALECTIN
80	PROS	PROS	PROS	PROS	PROS
81	PSAP	PSAP	0	0	PSAP
82	PTH	PTH	PTH	0	0
83	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN
84	SLURP	SLURP	0	SLURP	SLURP
85	BTLA	BTLA	BTLA	0	BTLA
86	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN
87	FN1	FN1	FN1	FN1	FN1
88	LAMININ	LAMININ	LAMININ	LAMININ	LAMININ
89	CHAD	CHAD	CHAD	0	CHAD
90	RELN	RELN	RELN	0	RELN
91	THBS	THBS	THBS	THBS	THBS
92	VTN	VTN	VTN	VTN	VTN
93	TENASCIN	TENASCIN	TENASCIN	TENASCIN	TENASCIN
94	NPNT	NPNT	0	0	NPNT
95	VWF	VWF	VWF	VWF	VWF
96	DMP1	DMP1	0	0	0
97	AGRN	AGRN	AGRN	AGRN	AGRN
98	HSPG	HSPG	HSPG	HSPG	HSPG
99	ADGRE5	ADGRE5	0	0	ADGRE5
100	ALCAM	ALCAM	ALCAM	ALCAM	ALCAM
101	ANXA1	ANXA1	0	0	ANXA1
102	APP	APP	APP	APP	APP
103	BST2	BST2	BST2	0	BST2
104	CADM	CADM	CADM	CADM	CADM
105	CD1D2	CD1D2	0	0	0
106	CD200	CD200	CD200	CD200	CD200
107	CD22	CD22	CD22	CD22	CD22
108	CD226	CD226	CD226	CD226	CD226
109	CD23	CD23	CD23	CD23	CD23
110	CD34	CD34	CD34	CD34	CD34
111	CD39	CD39	CD39	CD39	CD39
112	CD45	CD45	CD45	CD45	CD45
113	CD46	CD46	CD46	0	CD46
114	CD48	CD48	0	0	CD48
115	CD52	CD52	CD52	CD52	CD52
116	CD6	CD6	CD6	CD6	CD6
117	CD80	CD80	CD80	CD80	CD80
118	CD86	CD86	CD86	CD86	CD86
119	CD96	CD96	CD96	CD96	CD96
120	CDH	CDH	CDH	CDH	CDH
