rowname	TASseq	SmartSeq2	TenXv2	TenXv3
1	TGFb	TGFb	TGFb	TGFb	TGFb
2	BMP	BMP	BMP	BMP	BMP
3	GDF	GDF	GDF	0	GDF
4	ACTIVIN	ACTIVIN	ACTIVIN	0	0
5	WNT	WNT	WNT	WNT	WNT
6	ncWNT	ncWNT	ncWNT	ncWNT	ncWNT
7	EGF	EGF	EGF	EGF	EGF
8	NRG	NRG	NRG	NRG	NRG
9	FGF	FGF	FGF	FGF	FGF
10	PDGF	PDGF	PDGF	PDGF	PDGF
11	VEGF	VEGF	VEGF	VEGF	VEGF
12	IGF	IGF	IGF	IGF	IGF
13	APELIN	APELIN	APELIN	APELIN	0
14	HH	HH	HH	HH	0
15	CCL	CCL	CCL	CCL	CCL
16	CXCL	CXCL	CXCL	CXCL	CXCL
17	MIF	MIF	MIF	MIF	MIF
18	CX3C	CX3C	CX3C	CX3C	0
19	XCR	XCR	XCR	XCR	0
20	IL2	IL2	IL2	IL2	0
21	IL4	IL4	0	IL4	0
22	IL6	IL6	IL6	IL6	IL6
23	IL12	IL12	IL12	0	0
24	LIFR	LIFR	LIFR	LIFR	LIFR
25	OSM	OSM	OSM	OSM	OSM
26	IL1	IL1	IL1	IL1	IL1
27	IL17	IL17	0	0	0
28	CSF	CSF	CSF	CSF	CSF
29	IL16	IL16	IL16	IL16	IL16
30	IFN-II	IFN-II	IFN-II	IFN-II	IFN-II
31	TNF	TNF	TNF	TNF	TNF
32	LT	LT	LT	LT	0
33	LIGHT	LIGHT	LIGHT	0	0
34	FASLG	FASLG	FASLG	FASLG	FASLG
35	VEGI	VEGI	0	0	0
36	RANKL	RANKL	0	0	RANKL
37	TWEAK	TWEAK	TWEAK	TWEAK	0
38	CD137	CD137	CD137	CD137	CD137
39	APRIL	APRIL	APRIL	0	0
40	BAFF	BAFF	BAFF	BAFF	BAFF
41	CD40	CD40	CD40	CD40	CD40
42	SPP1	SPP1	SPP1	SPP1	SPP1
43	VISFATIN	VISFATIN	VISFATIN	VISFATIN	VISFATIN
44	ANGPTL	ANGPTL	ANGPTL	ANGPTL	ANGPTL
45	ANGPT	ANGPT	ANGPT	ANGPT	ANGPT
46	MK	MK	MK	MK	0
47	PTN	PTN	0	0	0
48	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN	PERIOSTIN
49	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT	COMPLEMENT
50	EDN	EDN	EDN	EDN	EDN
51	MELANOCORTIN	MELANOCORTIN	0	0	0
52	PARs	PARs	PARs	PARs	PARs
53	KIT	KIT	KIT	KIT	KIT
54	LHB	LHB	0	0	0
55	NT	NT	NT	0	NT
56	FLT3	FLT3	FLT3	FLT3	0
57	HGF	HGF	HGF	HGF	HGF
58	SEMA3	SEMA3	SEMA3	SEMA3	SEMA3
59	CALCR	CALCR	CALCR	CALCR	CALCR
60	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN	ANNEXIN
61	GAS	GAS	GAS	GAS	GAS
62	GRN	GRN	GRN	GRN	GRN
63	GALECTIN	GALECTIN	GALECTIN	GALECTIN	GALECTIN
64	PROS	PROS	PROS	PROS	PROS
65	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN	CHEMERIN
66	SLURP	SLURP	0	0	SLURP
67	BTLA	BTLA	BTLA	0	BTLA
68	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN	COLLAGEN
69	FN1	FN1	FN1	FN1	FN1
70	LAMININ	LAMININ	LAMININ	LAMININ	LAMININ
71	CHAD	CHAD	0	0	0
72	RELN	RELN	RELN	0	RELN
73	THBS	THBS	THBS	THBS	THBS
74	VTN	VTN	VTN	VTN	VTN
75	TENASCIN	TENASCIN	TENASCIN	TENASCIN	TENASCIN
76	NPNT	NPNT	0	0	NPNT
77	VWF	VWF	VWF	VWF	VWF
78	AGRN	AGRN	AGRN	AGRN	AGRN
79	HSPG	HSPG	HSPG	HSPG	HSPG
80	ADGRE5	ADGRE5	0	0	0
81	ALCAM	ALCAM	ALCAM	ALCAM	ALCAM
82	ANXA1	ANXA1	0	0	ANXA1
83	APP	APP	APP	APP	APP
84	BST2	BST2	BST2	0	0
85	CADM	CADM	CADM	CADM	CADM
86	CD1D2	CD1D2	0	0	0
87	CD200	CD200	CD200	CD200	CD200
88	CD22	CD22	CD22	CD22	0
89	CD226	CD226	CD226	CD226	CD226
90	CD23	CD23	CD23	CD23	0
91	CD34	CD34	CD34	CD34	CD34
92	CD39	CD39	CD39	CD39	CD39
93	CD45	CD45	CD45	CD45	CD45
94	CD48	CD48	0	0	CD48
95	CD52	CD52	CD52	CD52	CD52
96	CD6	CD6	CD6	CD6	CD6
97	CD80	CD80	CD80	0	CD80
98	CD86	CD86	CD86	CD86	CD86
99	CD96	CD96	CD96	CD96	CD96
100	CDH	CDH	CDH	CDH	CDH
101	CDH1	CDH1	CDH1	CDH1	CDH1
102	CDH5	CDH5	CDH5	CDH5	CDH5
103	CEACAM	CEACAM	CEACAM	CEACAM	CEACAM
104	CLEC	CLEC	CLEC	CLEC	0
105	CNTN	CNTN	0	0	CNTN
106	CSPG4	CSPG4	CSPG4	CSPG4	CSPG4
107	EPHA	EPHA	EPHA	EPHA	EPHA
108	EPHB	EPHB	EPHB	EPHB	EPHB
109	ESAM	ESAM	ESAM	ESAM	ESAM
110	ICAM	ICAM	ICAM	ICAM	ICAM
111	ICOS	ICOS	ICOS	ICOS	ICOS
112	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2	ITGAL-ITGB2
113	JAM	JAM	JAM	JAM	JAM
114	L1CAM	L1CAM	L1CAM	L1CAM	L1CAM
115	LAIR1	LAIR1	LAIR1	0	0
116	LCK	LCK	LCK	LCK	LCK
117	MAG	MAG	MAG	0	0
